,f,p,t
0,156421900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/156421900.V10.jpeg,1
1,94546600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/94546600.V10.jpeg,1
2,T0111323406.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0111323406.V10.jpeg,1
3,TOO79055405.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO79055405.V10.jpeg,1
4,T0069008206.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0069008206.V10.jpeg,1
5,T0104323402.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0104323402.V10.jpeg,1
6,167890600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/167890600.V10.jpeg,1
7,111831700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/111831700.V10.jpeg,1
8,TO107531901.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO107531901.V10.jpeg,1
9,T0101463203.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0101463203.V10.jpeg,1
10,101050700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/101050700.V10.jpeg,1
11,T00160684400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00160684400.V10.jpeg,1
12,TO105183212.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO105183212.V10.jpeg,1
13,127932300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/127932300.V10.jpeg,1
14,T0095690600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0095690600.V10.jpeg,1
15,T00103942108.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00103942108.V10.jpeg,1
16,T00160469800.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00160469800.V10.jpeg,1
17,171033400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/171033400.V10.jpeg,1
18,103942108.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/103942108.V10.jpeg,1
19,T0149358315.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0149358315.V10.jpeg,1
20,177236000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/177236000.V10.jpeg,1
21,TOO51609202.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO51609202.V10.jpeg,1
22,TOO99265501.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO99265501.V10.jpeg,1
23,174757300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/174757300.V10.jpeg,1
24,154349700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/154349700.V10.jpeg,1
25,165327100.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/165327100.V10.jpeg,1
26,T00158057500.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00158057500.V10.jpeg,1
27,T0163897300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0163897300.V10.jpeg,1
28,TO104862002.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO104862002.V10.jpeg,1
29,176712300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/176712300.V10.jpeg,1
30,T0149273600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0149273600.V10.jpeg,1
